"aka"
"ana"
"ata"
"asa"
"kaka"
"kana"
"kata"
"kasa"
"naka"
"nana"
"nata"
"nasa"
"saka"
"sana"
"sata"
"sasa"
"iki"
"ini"
"iti"
"isi"
"kiki"
"kini"
"kiti"
"kisi"
"niki"
"nini"
"niti"
"nisi"
"siki"
"sini"
"siti"
"sisi"
"uku"
"unu"
"utu"
"usu"
"kuku"
"kunu"
"kutu"
"kusu"
"nuku"
"nunu"
"nutu"
"nusu"
"suku"
"sunu"
"sutu"
"susu"
"akat"
"akas"
"akan"
"anat"
"anas"
"anan"
"asat"
"asas"
"asan"
"ikit"
"ikis"
"ikin"
"init"
"inis"
"inin"
"isit"
"isis"
"isin"
"ukut"
"ukus"
"ukun"
"unut"
"unus"
"unun"
"usut"
"usus"
"usun"
